No.,Name,Gcorr[au],Hcorr[au],Ucorr[au],ZPE[au],TS[au],SPE[au]
0,PreTS_SGHWCOGVXGUADK-UHFFFAOYSA-N,0.26779461,0.3371345022450214,0.33619029,0.31616174,0.0693399,-770.859149782245
1,PreSm_GJBFCHDGKFLGPU-UHFFFAOYSA-N,0.27255242,0.3404757292209979,0.33953152,0.31990777,0.0679233,-770.852628519221
2,PreSm_LFLOAISTEXNVGF-UHFFFAOYSA-N,0.29531735,0.3679961222910606,0.36705192000000003,0.34514376,0.07267878,-1015.587547742291
3,PreSm_AUMKGEPLFXKQFW-UHFFFAOYSA-N,0.22948052,0.2955681858919661,0.29462398,0.27613982,0.06608767,-618.174074085892
4,PreTS_AUMKGEPLFXKQFW-UHFFFAOYSA-N,0.2326068,0.29496100532298897,0.2940168,0.27709357,0.06235421,-618.156864275323
5,PreTS_QHRXRLDUNAJUGO-UHFFFAOYSA-N,0.24037594,0.29756485042298664,0.29662064,0.28171954,0.05718891,-618.126461750423
6,PreSm_UMZUXMRGESPRQR-UHFFFAOYSA-N,0.49162089,0.5992861310610351,0.59834193,0.55874791,0.10766524,-1778.154521031061
7,PreTS_CGJCFEWEFVTWQL-UHFFFAOYSA-N,0.17222066,0.22354375429904394,0.22259953999999998,0.21027563,0.0513231,-426.147819994299
8,AVUFZLGLMCACRE-UHFFFAOYSA-N,0.12538577,0.16472373662099926,0.16377954,0.15654842,0.03933797,-385.120795516621
9,PreTS_GJBFCHDGKFLGPU-UHFFFAOYSA-N,0.27609887,0.33962922147702557,0.33868501,0.32074249,0.06353034,-770.838449631477
10,AIUFESORTUMJGT-UHFFFAOYSA-N,0.12878454,0.17536996316999875,0.17442575999999999,0.16430259,0.04658543,-478.02159840317
11,VNKYTQGIUYNRMY-UHFFFAOYSA-N,0.09278114,0.13157762665400696,0.13063342,0.12357673,0.03879649,-233.025213826654
12,PreSm_RQYLLQZMJBWMHH-UHFFFAOYSA-N,0.29140942,0.36724969339309155,0.36630548999999996,0.34323369,0.07584028,-1015.611783853393
13,UUIQMZJEGPQKFD-UHFFFAOYSA-N,0.1006878,0.14373577709699248,0.14279157,0.13421941,0.04304797,-346.405793447097
14,PreSm_SKYLJAZVUBQHJD-UHFFFAOYSA-N,0.42135712,0.511923065982046,0.5109788599999999,0.47974933,0.09056594,-1446.585369525982
15,PreTS_DIRWHWDXJBWJQW-UHFFFAOYSA-N,0.29384819,0.36481659051696624,0.36387238,0.3425723,0.0709684,-923.305267140517
16,PreTS_AHPNQRDUZRCXIO-UHFFFAOYSA-N,0.2437415,0.30780669196201416,0.30686248000000005,0.28849464,0.06406519,-731.551337971962
17,PreTS_UMZUXMRGESPRQR-UHFFFAOYSA-N,0.49510746,0.5980086210140598,0.59706441,0.55953288,0.10290116,-1778.138158261014
18,HPRYCTMHBHPYBO-UHFFFAOYSA-N,0.16274311,0.21565293367405047,0.21470872,0.20197429,0.05290982,-538.350772263674
19,PreSm_WTSZUXPMYTVMIH-UHFFFAOYSA-N,0.30324748,0.3797696447300041,0.37882544,0.35503352,0.07652217,-923.48967486473
20,PreTS_VIRUAVNQALUSNJ-UHFFFAOYSA-N,0.18601305,0.24651631043604993,0.24557210000000002,0.22942369,0.06050326,-652.904788290436
21,PPBRXRYQALVLMV-UHFFFAOYSA-N,0.10326951,0.1420741041220026,0.14112989,0.13436243,0.0388046,-309.665299754122
22,PreTS_MRTAOOLXDIZHHG-UHFFFAOYSA-N,0.2657545,0.3253958428590522,0.32445164000000004,0.30864899,0.05964134,-659.224304682859
