No.,Name,Gcorr[au],Hcorr[au],Ucorr[au],ZPE[au],TS[au],SPE[au]
0,task,None,None,None,None,None,None
1,PreTS_QXEKVOQJKDDGBJ-UHFFFAOYSA-N,None,None,None,None,None,-921.60803724909
2,XLDHYYAXFZTBKA-UHFFFAOYSA-N,None,None,None,None,None,-536.570045279055
3,PreTS_DIRWHWDXJBWJQW-UHFFFAOYSA-N,None,None,None,None,None,-921.641391332479
4,PreSm_NKBJYBLAUPKZGQ-UHFFFAOYSA-N,None,None,None,None,None,-730.256715670738
5,VVQNEPGJFQJSBK-UHFFFAOYSA-N,None,None,None,None,None,-345.228031365707
6,PreTS_VIRUAVNQALUSNJ-UHFFFAOYSA-N,None,None,None,None,None,-651.76925881532
7,PreSm_SEOIFVFWJIJIIG-UHFFFAOYSA-N,None,None,None,None,None,-733.318097782939
8,HVGZQCSMLUDISR-UHFFFAOYSA-N,None,None,None,None,None,-576.419144277652
9,PreSm_DIRWHWDXJBWJQW-UHFFFAOYSA-N,None,None,None,None,None,-921.660171103803
10,PreTS_BBRCXNPAPOZOFT-UHFFFAOYSA-N,None,None,None,None,None,-1112.976290523676
11,PreSm_RTVJKSWRNQXYIT-UHFFFAOYSA-N,None,None,None,None,None,-921.658092970677
12,PreSm_AUMKGEPLFXKQFW-UHFFFAOYSA-N,None,None,None,None,None,-617.066758208258
13,PreTS_MRTAOOLXDIZHHG-UHFFFAOYSA-N,None,None,None,None,None,-657.924809898708
14,PPBRXRYQALVLMV-UHFFFAOYSA-N,None,None,None,None,None,-309.057105413871
15,PreSm_MTJSEUZQPOBJMX-UHFFFAOYSA-N,None,None,None,None,None,-921.839593466619
16,PreTS_MTJSEUZQPOBJMX-UHFFFAOYSA-N,None,None,None,None,None,-921.8220421417
17,VOZRXNHHFUQHIL-UHFFFAOYSA-N,None,None,None,None,None,-497.584535738501
18,PreTS_GQDRRQBCTAZFEJ-UHFFFAOYSA-N,None,None,None,None,None,-651.775875743694
19,PreSm_QHRXRLDUNAJUGO-UHFFFAOYSA-N,None,None,None,None,None,-617.041235823003
20,PreSm_LFLOAISTEXNVGF-UHFFFAOYSA-N,None,None,None,None,None,-1013.755532826948
21,PreSm_QXEKVOQJKDDGBJ-UHFFFAOYSA-N,None,None,None,None,None,-921.625327490939
22,PreSm_JMVPVZIBGNTONC-UHFFFAOYSA-N,None,None,None,None,None,-921.61789786457
23,PreTS_UMZUXMRGESPRQR-UHFFFAOYSA-N,None,None,None,None,None,-1775.112010901853
24,PreSm_QTLWUMXMSCDNBP-UHFFFAOYSA-N,None,None,None,None,None,-730.233692422885
25,PreTS_QTLWUMXMSCDNBP-UHFFFAOYSA-N,None,None,None,None,None,-730.224023549135
26,PreTS_WTSZUXPMYTVMIH-UHFFFAOYSA-N,None,None,None,None,None,-921.848688989939
27,PreSm_UMZUXMRGESPRQR-UHFFFAOYSA-N,None,None,None,None,None,-1775.123601316809
28,PreSm_CGJCFEWEFVTWQL-UHFFFAOYSA-N,None,None,None,None,None,-425.397427401536
29,PreSm_GULPOKXVKHWXBS-UHFFFAOYSA-N,None,None,None,None,None,-733.332179729271
30,VNKYTQGIUYNRMY-UHFFFAOYSA-N,None,None,None,None,None,-232.599489184904
31,PreTS_LFLOAISTEXNVGF-UHFFFAOYSA-N,None,None,None,None,None,-1013.741057614077
