No.,Name,Gcorr[au],Hcorr[au],Ucorr[au],ZPE[au],TS[au],SPE[au]
0,PreTS_VOJCRTXPRRYGEJ-UHFFFAOYSA-N,0.15152364,0.2073401324240649,0.20639592999999998,0.19221739,0.0558165,-725.746798582424
1,ZJMWRROPUADPEA-UHFFFAOYSA-N,0.16543583,0.21192006479299152,0.21097586000000002,0.20087461,0.04648424,-388.888907294793
2,PreSm_GOMGXLWCJGBKOR-UHFFFAOYSA-N,0.07219552,0.12466542789502455,0.12372121,0.11135172,0.05246991,-594.091257437895
3,PreSm_HUCFUZSHZJOAFJ-UHFFFAOYSA-N,0.25174485,0.3171374383420016,0.31619322,0.29757979,0.06539259,-695.406990648342
4,PreTS_QJRAGCNZXNHVGJ-UHFFFAOYSA-N,0.17861769,0.2372538724359856,0.23630966,0.22073073,0.05863618,-765.064900182436
5,PreTS_LLSLAEIOMBGCPF-UHFFFAOYSA-N,0.22995511,0.28928910969705157,0.2883449,0.27275502,0.059334,-542.941686569697
6,ATUOYWHBWRKTHZ-UHFFFAOYSA-N,0.0616369,0.09433197861599751,0.09338777000000001,0.08836684,0.03269508,-118.479784518616
7,PreTS_KVRASCBOZYQKPM-UHFFFAOYSA-N,0.18577031,0.2398953020939416,0.23895109,0.2257705,0.05412498,-520.404826132094
8,PreSm_KZAKORVMJFWPOU-UHFFFAOYSA-N,0.21018349,0.2698924082250187,0.26894819999999997,0.25288792,0.05970891,-559.742433668225
9,KVNRLNFWIYMESJ-UHFFFAOYSA-N,0.05977334,0.09639305344401805,0.09544885,0.08939757,0.03661971,-210.746518143444
10,PreSm_ANVBQVNHVQKZIH-UHFFFAOYSA-N,0.08414834,0.13736770647892627,0.1364235,0.12395676,0.05321937,-1208.568960936479
11,PreSm_LLSLAEIOMBGCPF-UHFFFAOYSA-N,0.22637555,0.28954216749195893,0.28859796000000004,0.27106666,0.06316662,-542.950878327492
12,PreSm_VJFWHKGBGJVYPX-UHFFFAOYSA-N,0.21972316,0.2812207982079826,0.28027659,0.26369105,0.06149764,-580.837475998208
13,PreTS_CBRUCKLHFRXDKF-UHFFFAOYSA-N,0.20697166,0.26523335576393947,0.26428915000000003,0.2489481,0.0582617,-578.853186835764
14,PreTS_XGHNITYXBWNXEP-UHFFFAOYSA-N,0.2394429,0.30860252347702044,0.30765832,0.28752168,0.06915962,-823.793983843477
15,PreSm_DSJRRPZOVZUSDB-UHFFFAOYSA-N,0.14447504,0.20196311406095901,0.20101891,0.18620722,0.05748807,-517.259865124061
16,PreSm_CBRUCKLHFRXDKF-UHFFFAOYSA-N,0.20361727,0.2656631629030244,0.26471895,0.24756911,0.06204589,-578.869147552903
17,PreSm_RQJZFULZZJPZAD-UHFFFAOYSA-N,0.18430742,0.24825192501202764,0.24730772,0.22963863,0.0639445,-652.917515095012
18,PreTS_ZLMUNUVPCGATEX-UHFFFAOYSA-N,0.17231968,0.22998652189903623,0.22904231,0.21411086,0.05766685,-556.570890061899
19,PreTS_JQIRWQNTXPISOM-UHFFFAOYSA-N,0.13468783,0.18586283914692103,0.18491863,0.17312876,0.05117501,-809.362373029147
20,PreTS_MDOAAHGPXOGVQG-UHFFFAOYSA-N,0.11138682,0.15138261168999634,0.15043841,0.14281507,0.0399958,-197.06326442169
21,PreSm_HIYWUJCGKLFTON-UHFFFAOYSA-N,0.22973364,0.30060804264098806,0.29966382999999996,0.27865448,0.0708744,-1191.169489282641
22,PreSm_ZQEXKJCBJFGSEF-UHFFFAOYSA-N,0.22543597,0.2913582323169521,0.29041402,0.27153453,0.06592227,-635.230373752317
23,PreSm_QJRAGCNZXNHVGJ-UHFFFAOYSA-N,0.17578905,0.23836536389399043,0.23742115000000003,0.22017647,0.06257631,-765.086684293894
24,PreSm_FOMAPOLFAPPPJX-UHFFFAOYSA-N,0.13617015,0.19330954956001278,0.19236534,0.17806038,0.0571394,-884.61460383956
25,PreTS_ABNVMMWEVPGMRK-UHFFFAOYSA-N,0.18149997,0.2358227434709761,0.23487852999999997,0.22129353,0.05432277,-502.402329373471
26,PreSm_DMVYNWPKXDTJCR-UHFFFAOYSA-N,0.13733151,0.19342608956208096,0.19248188,0.17842231,0.05609458,-884.644840189562
27,PreSm_RMURYMQQIOBLTI-UHFFFAOYSA-N,0.09459997,0.14607102686602502,0.14512682999999998,0.13333576,0.05147106,-748.951159036866
28,PreTS_KZYHAQJMFCQZQD-UHFFFAOYSA-N,0.16669961,0.2191477566520348,0.21820354,0.20553851,0.05244814,-443.188898836652
29,LGXVIGDEPROXKC-UHFFFAOYSA-N,0.00593411,0.0391951103520114,0.03825091,0.03401933,0.03326101,-997.816597000352
30,PreSm_OLHGYYIJFCQEIL-UHFFFAOYSA-N,0.26846492,0.33883652378392526,0.33789231999999997,0.31701334,0.0703716,-770.899168973784
31,PreSm_SJPGAFQQHQTLDG-UHFFFAOYSA-N,0.158143,0.21512568073796956,0.21418147,0.19951824,0.05698268,-534.573166070738
32,PreSm_ZVWKKIHMYDASET-UHFFFAOYSA-N,0.13456288,0.19232732929492613,0.19138281000000001,0.17676721,0.05776414,-884.613806969295
33,PreSm_DABGEJNAXINAFN-UHFFFAOYSA-N,0.08389234,0.13868327586487794,0.13773906,0.12492035,0.05479093,-1208.566549055865
34,PreSm_CNSPVLATOGYEPW-UHFFFAOYSA-N,0.23971315,0.3078470837489249,0.30690288,0.28691092,0.06813394,-731.555044363749
35,PreTS_UKCAWOPUYLQZHE-UHFFFAOYSA-N,0.17836245,0.23068879206493875,0.22974458,0.21732602,0.05232634,-887.762559542065
36,PreSm_SUKBEOZVMSEULB-UHFFFAOYSA-N,0.21384585,0.27090250883395584,0.26995830000000004,0.25492181,0.05705665,-354.371677458834
37,PreTS_RQJZFULZZJPZAD-UHFFFAOYSA-N,0.18769393,0.24756156022601772,0.24661735,0.23069112,0.05986763,-652.909657200226
38,PreSm_KDGUWMSODREDMK-UHFFFAOYSA-N,0.15771921,0.2127111601080287,0.21176694999999998,0.19810445,0.05499195,-367.976008240108
39,PreTS_KWZSFJRUKQCUSQ-UHFFFAOYSA-N,0.14628318,0.20057559522899737,0.19963139,0.18627827,0.05429242,-517.244023885229
40,PreSm_PTMCQDCAFJSVCR-UHFFFAOYSA-N,0.21109568,0.2776985928509248,0.27675439,0.25779199,0.06660292,-692.239043142851
41,PreSm_DQBHNQIJAJWZOX-UHFFFAOYSA-N,0.16372187,0.2231343745909271,0.22219017,0.20663019,0.0594125,-923.947255184591
42,PreTS_VDMGCYGPMXPWLU-UHFFFAOYSA-N,0.26162101,0.3259454659760195,0.32500126,0.30698309,0.06432446,-657.493534105976
43,PreTS_XMCMLCLWNUDTFL-UHFFFAOYSA-N,0.21997651,0.2743574665370261,0.27341326,0.25987891,0.05438096,-505.556500206537
44,PreTS_KDGATBSHELBYPB-UHFFFAOYSA-N,0.17323347,0.22996580908898068,0.22902160000000002,0.21440891,0.05673234,-556.569046399089
45,PreSm_SMUNBMVPYRPETG-UHFFFAOYSA-N,0.24962344,0.3162601035409125,0.3153159,0.29625404,0.06663667,-695.393045463541
46,PreSm_PHPSOQOEDASRAY-UHFFFAOYSA-N,0.10287888,0.1545750454949939,0.15363083,0.14145522,0.05169616,-381.597256725495
47,PreSm_JJEFBABIRUGHOA-UHFFFAOYSA-N,0.37376238,0.464405115667887,0.4634609,0.43292456,0.09064273,-1266.027363835668
48,PreTS_JJEFBABIRUGHOA-UHFFFAOYSA-N,0.37647213,0.46351080468593864,0.46256659,0.43348321,0.08703868,-1266.012133284686
49,PreTS_FQRUUNHLNRZSIH-UHFFFAOYSA-N,0.13341276,0.1839987070540019,0.1830545,0.17119401,0.05058595,-458.072461377054
50,UUIQMZJEGPQKFD-UHFFFAOYSA-N,0.10054795,0.14369617723195915,0.14275195999999998,0.13415253,0.04314823,-346.405788347232
51,PreSm_SUETYVLILIXRJL-UHFFFAOYSA-N,0.14435618,0.19898656661405312,0.19804235,0.18435512,0.05463038,-424.991386476614
52,PreTS_ORKVVBBGBFTEOR-UHFFFAOYSA-N,0.14990955,0.20663782860299307,0.20569362,0.19135557,0.05672829,-725.751404868603
53,PreTS_SUKBEOZVMSEULB-UHFFFAOYSA-N,0.21794287,0.2699404306150086,0.26899621999999995,0.25601661,0.05199756,-354.356372920615
54,PreTS_CNSPVLATOGYEPW-UHFFFAOYSA-N,0.24127871,0.30700357888497365,0.30605937,0.2873169,0.06572488,-731.547882788885
55,PreTS_NKBJUIGJMCGFAH-UHFFFAOYSA-N,0.12493671,0.1780344835908636,0.17709027,0.16445142,0.05309777,-1268.975209793591
56,PreSm_XGHNITYXBWNXEP-UHFFFAOYSA-N,0.23804812,0.3093575770440111,0.30841337,0.28711794,0.07130946,-823.813061127044
57,PreTS_AHPNQRDUZRCXIO-UHFFFAOYSA-N,0.2437602,0.30780936405494685,0.30686515,0.28848119,0.06404916,-731.551160584055
58,PreTS_MHNURBLHPUVPPF-UHFFFAOYSA-N,0.26663616,0.3326601854059845,0.33171598,0.31279572,0.06602402,-959.983552755406
59,PreSm_NKNNWJVUYQQVCM-UHFFFAOYSA-N,0.17770324,0.23651465306699038,0.23557045000000001,0.22032234,0.05881141,-502.420849613067
60,PreSm_KVRASCBOZYQKPM-UHFFFAOYSA-N,0.18245772,0.2402533213830793,0.23930911,0.22439771,0.0577956,-520.420510151383
61,PreSm_ZMIKKNQULOZVJN-UHFFFAOYSA-N,0.23699196,0.30946944416200495,0.30852523,0.28678294,0.07247748,-823.810694514162
62,PreSm_PIOIUPLQDWGQQE-UHFFFAOYSA-N,0.14287609,0.20077640406395858,0.19983219000000002,0.18486166,0.05790032,-517.265111694064
63,PreTS_AXKCYRGZCUHOTB-UHFFFAOYSA-N,0.21641008,0.27517576943694166,0.27423156000000004,0.25877091,0.0587657,-672.108495129437
64,PreTS_VBPXVTGUYOEHHU-UHFFFAOYSA-N,0.10189336,0.15161607773200103,0.15067186999999999,0.13963687,0.04972272,-957.447904087732
65,PreSm_LRUARIMATGYIRH-UHFFFAOYSA-N,0.18743955,0.2467477387500594,0.24580353000000002,0.23011812,0.05930818,-728.92167865875
66,PreSm_GLJIQVPGZFGRPR-UHFFFAOYSA-N,0.2776241,0.34710597437799606,0.34616177,0.32583897,0.06948188,-734.725213054378
67,PreSm_GEMHISRDFYIWAE-UHFFFAOYSA-N,0.18277314,0.2401579410679915,0.23921373,0.22444543,0.0573848,-520.420459841068
68,PreTS_NYMCAJNZSOKJMY-UHFFFAOYSA-N,0.21588009,0.27513027445399985,0.27418607,0.25858135,0.05925018,-672.109982664454
69,PreSm_CWCZUMMGJWIHPO-UHFFFAOYSA-N,0.15746317,0.21848590096999487,0.21754169,0.20146976,0.06102273,-613.60937557097
70,PreSm_KTSLXQZJGCZFNT-UHFFFAOYSA-N,0.26486704,0.3333409784910373,0.33239678,0.31243652,0.06847394,-959.986760718491
71,PreTS_AGXQQVZNGIKOQS-UHFFFAOYSA-N,0.16627769,0.22221711749693895,0.22127292,0.20722808,0.05593943,-923.929894327497
72,PreTS_VJFWHKGBGJVYPX-UHFFFAOYSA-N,0.22319536,0.28033447937207256,0.27939027,0.26463889,0.05713912,-580.823446059372
73,PreTS_RWOQNRCHLBNNAC-UHFFFAOYSA-N,0.13972201,0.18880631047699126,0.1878621,0.17673968,0.0490843,-366.740128110477
74,PreSm_ABNVMMWEVPGMRK-UHFFFAOYSA-N,0.17906018,0.2372624954730327,0.23631829,0.22108955,0.05820232,-502.412547435473
75,PreSm_YKKLLVSGGUWYGJ-UHFFFAOYSA-N,0.13196205,0.18647099276199697,0.18552678,0.17214225,0.05450894,-809.378444552762
76,PreTS_HIYWUJCGKLFTON-UHFFFAOYSA-N,0.23220193,0.2998096701448958,0.29886546,0.27951531,0.06760775,-1191.155135250145
