No.,Name,Gcorr[au],Hcorr[au],Ucorr[au],ZPE[au],TS[au],SPE[au]
0,VQGISNOMGHCEPX-UHFFFAOYSA-N,0.0328614,0.0662462794809926,0.06530208,0.06039283,0.03338488,-171.429063789481
1,BXNFCSGWZRGZEV-UHFFFAOYSA-N,0.07955783,0.12426835780206602,0.12332414,0.11423756,0.04471053,-1169.945072297802
2,VLVHRNSWZGCCRW-UHFFFAOYSA-N,0.10432775,0.15599066492995917,0.15504646,0.1429499,0.05166292,-1304.94849000493
3,JPKXZZUVDKXBSJ-UHFFFAOYSA-N,0.29976837,0.37272710065997217,0.3717829,0.34943604,0.07295873,-960.17189057066
4,PreTS_QZMHDBCAEMYGOU-UHFFFAOYSA-N,0.21515803,0.2718434180279701,0.27089921,0.25667217,0.05668539,-651.988441188028
5,XXJSHYXKRYYIRI-UHFFFAOYSA-N,0.16339765,0.2129531577020316,0.21200895,0.20066211,0.04955551,-481.137462137702
6,XUTBSIBIWNHNFW-UHFFFAOYSA-N,0.1494701,0.20254723393895802,0.20160303,0.18845418,0.05307714,-517.291245663939
7,PreTS_ODNTVPOOEXLLQF-UHFFFAOYSA-N,0.18828357,0.24496353980600816,0.24401932,0.22966674,0.05667997,-632.791341849806
8,PreTS_VSLCNDQXKFHQIA-UHFFFAOYSA-N,0.14471635,0.19986633390408315,0.19892213,0.1851897,0.05514999,-517.248729313904
9,PQSDKWOXIDXTDB-UHFFFAOYSA-N,0.10500387,0.15744108931198753,0.15649688,0.14439624,0.05243722,-1304.954243009312
10,JTWZQNYPJYWQRT-UHFFFAOYSA-N,0.18160996,0.2348999883330407,0.23395578,0.22047479,0.05329003,-614.326817988333
11,PreTS_FPQJVBQFOXIBFJ-UHFFFAOYSA-N,0.21254726,0.27877817866192345,0.27783397000000004,0.25939683,0.06623092,-784.484433828662
12,XVWDYIIPLOFHHE-UHFFFAOYSA-N,0.1276964,0.1803837233150034,0.17943951,0.16678744,0.05268733,-686.472804313315
13,NXXWCNPJYPXQAA-UHFFFAOYSA-N,0.13328923,0.187292893023141,0.18634868999999998,0.17306975,0.05400366,-1344.264702563023
14,AUGQOVNELZKQGM-UHFFFAOYSA-N,0.16066803,0.21385229026702746,0.21290808,0.20007773,0.05318426,-573.383701970267
15,PreTS_QTRJIGPKQHYZEC-UHFFFAOYSA-N,0.14663866,0.19780875490596372,0.19686455,0.18505359,0.0511701,-497.126655674906
16,PreTS_QCQDUZJWGPYNDJ-UHFFFAOYSA-N,0.13442947,0.18220003128300277,0.18125581999999998,0.17058357,0.04777056,-328.658282711283
17,QCNPNSZRAAUQCG-UHFFFAOYSA-N,0.14567311,0.1910692570060064,0.19012505000000002,0.1803537,0.04539615,-311.666058817006
18,NJDXRLXBJMZCAW-UHFFFAOYSA-N,0.15036102,0.19630715105495256,0.19536293999999998,0.18539593,0.04594614,-312.624597101055
19,RFQZCCMQDAZKRG-UHFFFAOYSA-N,0.13762243,0.19086825811996277,0.18992405,0.17697125,0.05324582,-574.33001545812
20,PreSm_JMNDBSWHIXOJLR-UHFFFAOYSA-N,0.23570576,0.2957858880429285,0.29484168,0.27874824,0.06008012,-619.925298408043
21,UCUJOVBXGUHMFF-UHFFFAOYSA-N,0.3125268,0.3763913943960233,0.37544718000000005,0.35727117,0.06386459,-622.800582584396
22,PreSm_HVROOOUGQSYXPJ-UHFFFAOYSA-N,0.26265545,0.325341927512909,0.32439772,0.30693605,0.06268647,-659.246572947513
23,PreTS_FXZUGUKYDSFYIY-UHFFFAOYSA-N,0.32396994,0.39793499932909526,0.3969908,0.37464073,0.07396507,-849.505928989329
24,PreTS_WWYMPPHTAGZIIZ-UHFFFAOYSA-N,0.12382596,0.17749493460405574,0.17655073,0.16371885,0.05366898,-686.429055114604
25,HQVGWWOGLNIDMW-UHFFFAOYSA-N,0.14359891,0.19564003765299276,0.19469583000000001,0.1823095,0.05204113,-884.668053177653
26,PreTS_XHEBPBQQBWIDMJ-UHFFFAOYSA-N,0.19842105,0.25582628762799686,0.25488208,0.24018506,0.05740524,-616.749419237628
27,DLYBWHZGEVJWDC-UHFFFAOYSA-N,0.08561796,0.13334414538098827,0.13239994,0.12231735,0.04772619,-550.814701505381
28,PreSm_UPKYIMMMJJFKDG-UHFFFAOYSA-N,0.1422111,0.20061816917097985,0.19967395999999998,0.18438663,0.05840706,-517.274034829171
29,QUSOKTWUWVWMAB-UHFFFAOYSA-N,0.11688579,0.16498583445695658,0.16404162,0.15325179,0.04810005,-845.348315064457
30,PreTS_JEKWJGDJPSQDEV-UHFFFAOYSA-N,0.20528623,0.26997056011305176,0.26902634999999997,0.25116549,0.06468433,-1151.843137900113
31,PreTS_IQTXAWNWUUTOOI-UHFFFAOYSA-N,0.185455,0.2394895937579804,0.23854539,0.22532196,0.0540346,-520.409454233758
32,PPGAFAOTXHZHCA-UHFFFAOYSA-N,0.05851115,0.09612960444698615,0.09518539999999999,0.08869627,0.03761846,-210.754388484447
33,PreTS_SJOAJCDCYUSZJM-UHFFFAOYSA-N,0.17814632,0.23457872582491746,0.23363452,0.21932709,0.05643241,-539.535273905825
34,XGLCVGWCZXZWER-UHFFFAOYSA-N,0.11560877,0.16483677313397038,0.16389256000000002,0.15280266,0.049228,-845.339637363134
35,PreTS_GZJPBDCXFVZGSZ-UHFFFAOYSA-N,0.25402554,0.32523714959995687,0.32429294000000003,0.30313854,0.07121161,-920.1429756796
36,PreSm_CONXVPUKJYKZEK-UHFFFAOYSA-N,0.14085562,0.20221122125406055,0.20126701,0.18487323,0.0613556,-609.506470751254
37,PreTS_PPRRRNMEPPQNJZ-UHFFFAOYSA-N,0.34799773,0.4335064528459043,0.43256225000000004,0.40453281,0.08550873,-1226.702832002846
38,PreTS_HBGASHBKAUYGBC-UHFFFAOYSA-N,0.1812003,0.23564738368497729,0.23470317999999998,0.22099237,0.05444709,-502.406465523685
39,LGXVIGDEPROXKC-UHFFFAOYSA-N,0.0059308,0.03919277151908318,0.03824856,0.03401614,0.03326197,-997.816586931519
40,PreSm_FMSYSCWNCUUBAH-UHFFFAOYSA-N,0.19824254,0.26105584176502816,0.26011164,0.24252751,0.06281331,-595.915022711765
41,PreSm_LIMSIMVBVLRYHL-UHFFFAOYSA-N,0.18222808,0.2397121941929754,0.23876798999999999,0.22388993,0.05748411,-520.427341864193
42,PreTS_JEAKTLDJVSMBKC-UHFFFAOYSA-N,0.190372,0.23981071271202836,0.2388665,0.22706054,0.04943872,-315.040554192712
43,FFHDXLVRZMFTGC-UHFFFAOYSA-N,0.15066443,0.20096412838000788,0.20001992,0.18858892,0.05029969,-497.17178685838
44,LLQWARIEXFHKHT-UHFFFAOYSA-N,0.07194939,0.11255113805600558,0.11160693,0.10395169,0.04060175,-307.085295648056
45,RRLQZHYUNNJXPV-UHFFFAOYSA-N,0.28783133,0.3538006363290833,0.35285642,0.33351861,0.0659693,-771.577006016329
