No.,Name,Gcorr[au],Hcorr[au],Ucorr[au],ZPE[au],TS[au],SPE[au]
0,PreTS_QXEKVOQJKDDGBJ-UHFFFAOYSA-N,None,None,None,None,None,-921.4040850264
1,XLDHYYAXFZTBKA-UHFFFAOYSA-N,None,None,None,None,None,-536.472325722067
2,PreTS_DIRWHWDXJBWJQW-UHFFFAOYSA-N,None,None,None,None,None,-921.432674424583
3,PreSm_NKBJYBLAUPKZGQ-UHFFFAOYSA-N,None,None,None,None,None,-730.071663628349
4,VVQNEPGJFQJSBK-UHFFFAOYSA-N,None,None,None,None,None,-345.148514988915
5,PreTS_VIRUAVNQALUSNJ-UHFFFAOYSA-N,None,None,None,None,None,-651.619960623941
6,PreSm_SEOIFVFWJIJIIG-UHFFFAOYSA-N,None,None,None,None,None,-733.109723378218
7,HVGZQCSMLUDISR-UHFFFAOYSA-N,None,None,None,None,None,-576.287998843571
8,PreSm_DIRWHWDXJBWJQW-UHFFFAOYSA-N,None,None,None,None,None,-921.449400753431
9,PreTS_BBRCXNPAPOZOFT-UHFFFAOYSA-N,None,None,None,None,None,-1112.748099787392
10,PreSm_RTVJKSWRNQXYIT-UHFFFAOYSA-N,None,None,None,None,None,-921.446163247846
11,PreSm_AUMKGEPLFXKQFW-UHFFFAOYSA-N,None,None,None,None,None,-616.883880211655
12,PreTS_MRTAOOLXDIZHHG-UHFFFAOYSA-N,None,None,None,None,None,-657.738079946954
13,PPBRXRYQALVLMV-UHFFFAOYSA-N,None,None,None,None,None,-308.982680298613
14,PreSm_MTJSEUZQPOBJMX-UHFFFAOYSA-N,None,None,None,None,None,-921.615274758116
15,PreTS_MTJSEUZQPOBJMX-UHFFFAOYSA-N,None,None,None,None,None,-921.595568542601
16,VOZRXNHHFUQHIL-UHFFFAOYSA-N,None,None,None,None,None,-497.484699331764
17,PreTS_GQDRRQBCTAZFEJ-UHFFFAOYSA-N,None,None,None,None,None,-651.626647328747
18,PreSm_QHRXRLDUNAJUGO-UHFFFAOYSA-N,None,None,None,None,None,-616.857579982588
19,PreSm_LFLOAISTEXNVGF-UHFFFAOYSA-N,None,None,None,None,None,-1013.560436477441
20,PreSm_QXEKVOQJKDDGBJ-UHFFFAOYSA-N,None,None,None,None,None,-921.423383522631
21,PreSm_JMVPVZIBGNTONC-UHFFFAOYSA-N,None,None,None,None,None,-921.415580205286
22,PreTS_UMZUXMRGESPRQR-UHFFFAOYSA-N,None,None,None,None,None,-1774.841220517161
23,PreSm_QTLWUMXMSCDNBP-UHFFFAOYSA-N,None,None,None,None,None,-730.048243461544
24,PreTS_QTLWUMXMSCDNBP-UHFFFAOYSA-N,None,None,None,None,None,-730.038208525198
25,PreTS_WTSZUXPMYTVMIH-UHFFFAOYSA-N,None,None,None,None,None,-921.622578265712
26,PreSm_UMZUXMRGESPRQR-UHFFFAOYSA-N,None,None,None,None,None,-1774.85648619318
27,PreSm_CGJCFEWEFVTWQL-UHFFFAOYSA-N,None,None,None,None,None,-425.254089744662
28,PreSm_GULPOKXVKHWXBS-UHFFFAOYSA-N,None,None,None,None,None,-733.133026459899
29,VNKYTQGIUYNRMY-UHFFFAOYSA-N,None,None,None,None,None,-232.514494312849
30,PreTS_LFLOAISTEXNVGF-UHFFFAOYSA-N,None,None,None,None,None,-1013.546318814376
31,UUIQMZJEGPQKFD-UHFFFAOYSA-N,None,None,None,None,None,-345.709205163595
32,FHTWQMHOTBIHEP-UHFFFAOYSA-N,None,None,None,None,None,-536.478835595782
33,PreSm_SKYLJAZVUBQHJD-UHFFFAOYSA-N,None,None,None,None,None,-1443.804803730927
34,XJRBAMWJDBPFIM-UHFFFAOYSA-N,None,None,None,None,None,-192.737530753311
35,PreSm_LHEOEUPPOHLYAY-UHFFFAOYSA-N,None,None,None,None,None,-730.068220378917
36,BAPJBEWLBFYGME-UHFFFAOYSA-N,None,None,None,None,None,-305.923374508186
37,PreTS_HEJUUJVJWOTYFT-UHFFFAOYSA-N,None,None,None,None,None,-808.470281833758
38,PreTS_CGJCFEWEFVTWQL-UHFFFAOYSA-N,None,None,None,None,None,-425.234290501385
39,PreTS_JMVPVZIBGNTONC-UHFFFAOYSA-N,None,None,None,None,None,-921.396373465341
40,GMLSOASXINSMOQ-UHFFFAOYSA-N,None,None,None,None,None,-576.288429318802
41,PreTS_GJBFCHDGKFLGPU-UHFFFAOYSA-N,None,None,None,None,None,-769.264487156522
42,PreTS_NKBJYBLAUPKZGQ-UHFFFAOYSA-N,None,None,None,None,None,-730.059345139318
43,PreSm_HEJUUJVJWOTYFT-UHFFFAOYSA-N,None,None,None,None,None,-808.483619067515
44,PreSm_GQDRRQBCTAZFEJ-UHFFFAOYSA-N,None,None,None,None,None,-651.638098419378
45,PreTS_ZMVNRNDCEVNYSQ-UHFFFAOYSA-N,None,None,None,None,None,-1034.750941723003
46,AIUFESORTUMJGT-UHFFFAOYSA-N,None,None,None,None,None,-477.070924163082
47,WUGOQZFPNUYUOO-UHFFFAOYSA-N,None,None,None,None,None,-867.531670926218
48,PreSm_KZYVEZHTWLNKIY-UHFFFAOYSA-N,None,None,None,None,None,-1112.777429663228
49,PreSm_ZMVNRNDCEVNYSQ-UHFFFAOYSA-N,None,None,None,None,None,-1034.770691118405
50,ODLMAHJVESYWTB-UHFFFAOYSA-N,None,None,None,None,None,-348.766640488497
