No.,Name,Gcorr[au],Hcorr[au],Ucorr[au],ZPE[au],TS[au],SPE[au]
0,PreSm_PEOAVTPXOTWVGT-UHFFFAOYSA-N,None,None,None,None,None,-846.074979306658
1,PreTS_CWCZUMMGJWIHPO-UHFFFAOYSA-N,None,None,None,None,None,-612.41914003108
2,PreTS_KZAKORVMJFWPOU-UHFFFAOYSA-N,None,None,None,None,None,-558.489293171648
3,PreTS_OTNMAAZBFXEROU-UHFFFAOYSA-N,None,None,None,None,None,-1345.408563173702
4,PreTS_RBZBTLMECNQXOG-UHFFFAOYSA-N,None,None,None,None,None,-962.039017424362
5,PreTS_FYZCCZUUFNOVHK-UHFFFAOYSA-N,None,None,None,None,None,-647.525366867512
6,PreTS_RMURYMQQIOBLTI-UHFFFAOYSA-N,None,None,None,None,None,-747.806142581844
7,PreTS_GSDYPUXIOHWJDE-UHFFFAOYSA-N,None,None,None,None,None,-689.856425261885
8,PreSm_GLJIQVPGZFGRPR-UHFFFAOYSA-N,None,None,None,None,None,-733.151122413884
9,PreSm_YVYYKZHQKWZKCI-UHFFFAOYSA-N,None,None,None,None,None,-956.01015752702
10,PreTS_VIRUAVNQALUSNJ-UHFFFAOYSA-N,None,None,None,None,None,-651.621096175986
11,PreSm_RQJZFULZZJPZAD-UHFFFAOYSA-N,None,None,None,None,None,-651.636510308099
12,PreTS_NOVUJBILWVXQMB-UHFFFAOYSA-N,None,None,None,None,None,-696.95658063196
13,PreSm_NYMCAJNZSOKJMY-UHFFFAOYSA-N,None,None,None,None,None,-670.737225239008
14,PreTS_AGXQQVZNGIKOQS-UHFFFAOYSA-N,None,None,None,None,None,-922.452292545804
15,FPYJFEHAWHCUMM-UHFFFAOYSA-N,None,None,None,None,None,-378.695838566621
16,PreTS_UOACIRAVILKLSG-UHFFFAOYSA-N,None,None,None,None,None,-611.363095618442
17,PreSm_WOUGNELDYFVXHQ-UHFFFAOYSA-N,None,None,None,None,None,-733.148719705605
18,PreTS_ADZIKAQRUJTIJG-UHFFFAOYSA-N,None,None,None,None,None,-611.362201668678
19,PreSm_DJLQCZHKYIXRHI-UHFFFAOYSA-N,None,None,None,None,None,-960.668942157838
20,PreTS_XZUSKPJPSSITCC-UHFFFAOYSA-N,None,None,None,None,None,-989.655811416328
21,PreSm_SUKBEOZVMSEULB-UHFFFAOYSA-N,None,None,None,None,None,-353.483740589334
22,PreSm_MDOAAHGPXOGVQG-UHFFFAOYSA-N,None,None,None,None,None,-196.578426112021
23,PreTS_GQJRLZSLZHNJPJ-UHFFFAOYSA-N,None,None,None,None,None,-654.706654820102
24,PreTS_PTMCQDCAFJSVCR-UHFFFAOYSA-N,None,None,None,None,None,-690.843719601854
25,PreSm_FQRUUNHLNRZSIH-UHFFFAOYSA-N,None,None,None,None,None,-457.149737950504
26,PreTS_OGNXZBKXWHVOOW-UHFFFAOYSA-N,None,None,None,None,None,-501.356294649403
27,PreTS_MRTAOOLXDIZHHG-UHFFFAOYSA-N,None,None,None,None,None,-657.737877734251
28,PPBRXRYQALVLMV-UHFFFAOYSA-N,None,None,None,None,None,-308.982667395727
29,PreTS_ZLMUNUVPCGATEX-UHFFFAOYSA-N,None,None,None,None,None,-555.431995743302
30,PreTS_FQRUUNHLNRZSIH-UHFFFAOYSA-N,None,None,None,None,None,-457.136217525339
31,PreSm_NWYJUBCWHZKKLL-UHFFFAOYSA-N,None,None,None,None,None,-766.699843173933
32,KVNRLNFWIYMESJ-UHFFFAOYSA-N,None,None,None,None,None,-210.290266691327
33,PreTS_VTNIVRPCDMVLBS-UHFFFAOYSA-N,None,None,None,None,None,-580.713400510763
34,NLHHRLWOUZZQLW-UHFFFAOYSA-N,None,None,None,None,None,-170.502796747707
35,CERQOIWHTDAKMF-UHFFFAOYSA-N,None,None,None,None,None,-305.9440817193
36,PreSm_DABGEJNAXINAFN-UHFFFAOYSA-N,None,None,None,None,None,-1206.940467977393
37,RCEJCSULJQNRQQ-UHFFFAOYSA-N,None,None,None,None,None,-249.517809524868
38,OIALIKXMLIAOSN-UHFFFAOYSA-N,None,None,None,None,None,-364.803940645184
39,PreSm_KIMRVHMKRAJGFM-UHFFFAOYSA-N,None,None,None,None,None,-747.820541194403
40,PreSm_ZVWKKIHMYDASET-UHFFFAOYSA-N,None,None,None,None,None,-883.233487889806
41,PreSm_CNSPVLATOGYEPW-UHFFFAOYSA-N,None,None,None,None,None,-730.080168145453
42,SUPCQIBBMFXVTL-UHFFFAOYSA-N,None,None,None,None,None,-384.373597250996
43,PreSm_NAKOQLYUZUIIKF-UHFFFAOYSA-N,None,None,None,None,None,-651.685695558818
44,PreSm_UQZPELAELWPGDS-UHFFFAOYSA-N,None,None,None,None,None,-579.562950276039
