| Monomer 1 | Monomer 2 | r1 | ±95% | r2 | ±95% | Conv. | Refs. |
| --- | --- | --- | --- | --- | --- | --- | --- |
| Acenaphthalene | Acrylate, (-)-menthyl |  |  |  |  | Y | 645 |
| Acenaphthalene | Pyrrolidone, N-vinyl- |  |  |  |  | N | 326 |
| Acenaphthalene | Pyrrolidone, N-vinyl- |  |  |  |  | N | 326 |
| 2-(4-methoxy) |  |  |  |  |  |  |  |
| Acetanilide, 4-(2-methacryloyloxy)- | Methacrylate, 2-hydroxyethyl | 0.67 |  | 1.39 |  |  | 1096 |
| ethyloxy) |  |  |  |  |  |  |  |
| Acetanilide, 4-(2-methacryloyloxy)- | Methacrylate, 2-hydroxyethyl | 0.87 |  | 1.19 |  |  | 1096 |
| hexyloxy) |  |  |  |  |  |  |  |
| Acetanilide, 4-(methacryloyloxy)- | Methacrylate, 2-hydroxyethyl | 1.94 |  | 0.78 |  |  | 1096 |
| Acetylene, phenyl- | Pyridine, 2-vinyl- |  |  |  |  | Y | 192 |
| Monomer 1 | Monomer 2 | r1 | ±95% | r2 | ±95% | Conv. | Refs. |
| --- | --- | --- | --- | --- | --- | --- | --- |
| Acrylate, methyl | Cinnamate, dibutylchlorotin | 1.65 |  | -0.2 |  |  | 659 |
| Acrylate, methyl | Ethylene |  |  |  |  | N | 41 |
| Acrylate, methyl | Isoprene, 3-acetoxy- | 0.27 |  | 5.71 |  |  | 770 |
| Acrylate, methyl | Isopropenyl, 3-1-cyclohexenyl, acetate | 0.37 |  | 0.57 |  |  | 770 |
| Acrylate, methyl | Methacrylate, ferrocenylmethyl | 1.4 | 0.35 | 0.042 | 0.085 | Y | 293 |
| Acrylate, methylAcrylate, methyl | Methacrylate, methylMethacrylate, t-butyl dimethylsilyl | 0.40.288 | 0.120.057 | 2.151.07 | 0.040.21 | NY | 3241069 |
|  | 4,4-dimethyl |  |  |  |  |  |  |
| Acrylate, methyl | Oxazoline, 2-,4-acryloxy-methyl-2,4-dimethyl | 0.29 |  | 0.11 |  |  | 596 |
| Acrylate, methyl | Oxazoline, 2-,4-methacryl-oxy-2,4-dimethyl | 0.4 |  | 0.56 |  |  | 596 |
|  |  |  |  |  |  |  |  |
| Acrylate, methyl | Oxazolinium, 2-, tetrafluoro-borate, 3-methyl | 0.552 | 0.043 | 0.344 | 0.105 | Y | 877 |
| Acrylate, methyl | Propenyl, 2-chloro-, acetate | 0.7 |  | 0 |  |  | 445 |
|  | Pyridine, 2-methyl-5-vinyl- | 0.18 | 0.05 | 1 | 0.3 | N | 232 |
| Acrylate, methyl | Pyrrolidone, 1-benzyl-3-methylene-5-methyl | 0.125 | 0.025 | 1.58 | 0.24 | Y | 633 |
| Monomer 1 | Monomer 2 | r1 ±95% | r2 ±95% | Conv. | Refs. |  |  |
| --- | --- | --- | --- | --- | --- | --- | --- |
| Vinyl ethyl sulfide | Methacrylate, methyl | 0.3 | 2.7 |  |  |  | 507 |
| Vinyl ethyl sulfide | Styrene | 0.25 | 6 |  |  |  | 507 |
| Vinyl ethyl sulfoxide | Styrene | 0.1 | 6 |  |  |  | 286 |
| Vinyl ethylene glycol glycidyl ether | Pyrrolidone, N-vinyl- | 0.06 | 1.4 |  |  |  | 369 |
| Vinyl ethylene glycol glycidyl ether | Pyrrolidone, N-vinyl- | 0.06 | 1.4 |  |  |  | 818 |
| Vinyl fluoride | Acrylate, butyl | 0.01 | 19 |  |  |  | 604 |
| Vinyl fluoride | Acrylate, butyl | 0.01 | 19 |  |  |  | 606 |
| Vinyl fluoride | Acrylate, methyl | 0.01 | 43 |  |  |  | 604 |
