Monomer_1,Monomer_1_smi,active_smi1,r1,Monomer_2,Monomer_2_smi,active_smi2,r2,smarts_11,smarts_12,smarts_21,smarts_22
MDPL,C=C1OCC(C2=CC=CC=C2)O1,O=C([CH2:1]*)OC[CH]C1=CC=CC=C1,0.014,MMA,COC(=O)C(C)=C,*[CH2:1][C](C)C(=O)OC,3.551,O=C([CH2:1]*)OC[CH]C1=CC=CC=C1.C=C1OCC(C2=CC=CC=C2)O1>>*[CH2:1]C(=O)OCC(c1ccccc1)[CH2:1]C(=O)OC[CH]c1ccccc1,O=C([CH2:1]*)OC[CH]C1=CC=CC=C1.COC(=O)C(C)=C>>*[CH2:1]C(=O)OCC(c1ccccc1)[CH2:1][C](C)C(=O)OC,*[CH2:1][C](C)C(=O)OC.C=C1OCC(C2=CC=CC=C2)O1>>*[CH2:1]C(C)(C(=O)OC)[CH2:1]C(=O)OC[CH]c1ccccc1,*[CH2:1][C](C)C(=O)OC.COC(=O)C(C)=C>>*[CH2:1]C(C)(C(=O)OC)[CH2:1][C](C)C(=O)OC
MDPL,C=C1OCC(C2=CC=CC=C2)O1,O=C([CH2:1]*)OC[CH]C1=CC=CC=C1,0.021,NEtMI,O=C(C=C1)N(CC)C1=O,O=C([CH]C1(*))N(CC)C1=O,0.157,O=C([CH2:1]*)OC[CH]C1=CC=CC=C1.C=C1OCC(C2=CC=CC=C2)O1>>*[CH2:1]C(=O)OCC(c1ccccc1)[CH2:1]C(=O)OC[CH]c1ccccc1,O=C([CH2:1]*)OC[CH]C1=CC=CC=C1.O=C(C=C1)N(CC)C1=O>>*[CH2:1]C(=O)OCC(c1ccccc1)C1[CH]C(=O)N(CC)C1=O,O=C([CH]C1(*))N(CC)C1=O.C=C1OCC(C2=CC=CC=C2)O1>>*C1C(=O)N(CC)C(=O)C1[CH2:1]C(=O)OC[CH]c1ccccc1,O=C([CH]C1(*))N(CC)C1=O.O=C(C=C1)N(CC)C1=O>>*C1C(=O)N(CC)C(=O)C1C1[CH]C(=O)N(CC)C1=O
MDO,C=C1OCCCCO1,O=C([CH2:1]*)OCCC[CH2],0.155,GMA,C=C(C)C(OCC1OC1)=O,C[C](C(OCC1OC1)=O)[CH2:1]*,4.2351,O=C([CH2:1]*)OCCC[CH2].C=C1OCCCCO1>>*[CH2:1]C(=O)OCCCC[CH2:1]C(=O)OCCC[CH2],O=C([CH2:1]*)OCCC[CH2].C=C(C)C(OCC1OC1)=O>>*[CH2:1]C(=O)OCCCC[CH2:1][C](C)C(=O)OCC1CO1,C[C](C(OCC1OC1)=O)[CH2:1]*.C=C1OCCCCO1>>*[CH2:1]C(C)(C(=O)OCC1CO1)[CH2:1]C(=O)OCCC[CH2],C[C](C(OCC1OC1)=O)[CH2:1]*.C=C(C)C(OCC1OC1)=O>>*[CH2:1]C(C)(C(=O)OCC1CO1)[CH2:1][C](C)C(=O)OCC1CO1
MDO,C=C1OCCCCO1,O=C([CH2:1]*)OCCC[CH2],0.948,VAc,CC(=O)OC=C,*[CH2:1][CH]OC(C)=O,1.707,O=C([CH2:1]*)OCCC[CH2].C=C1OCCCCO1>>*[CH2:1]C(=O)OCCCC[CH2:1]C(=O)OCCC[CH2],O=C([CH2:1]*)OCCC[CH2].CC(=O)OC=C>>*[CH2:1]C(=O)OCCCC[CH2:1][CH]OC(C)=O,*[CH2:1][CH]OC(C)=O.C=C1OCCCCO1>>*[CH2:1]C(OC(C)=O)[CH2:1]C(=O)OCCC[CH2],*[CH2:1][CH]OC(C)=O.CC(=O)OC=C>>*[CH2:1]C(OC(C)=O)[CH2:1][CH]OC(C)=O
BMDO,C=C(OC1)OCC2=C1C=CC=C2,O=C([CH2:1]*)OCC1=C([CH2])C=CC=C1,0.019,HEMA-TMS,C=C(C)C(OCCO[Si](C)(C)C)=O,C[C](C(OCCO[Si](C)(C)C)=O)[CH2:1]*,4.692,O=C([CH2:1]*)OCC1=C([CH2])C=CC=C1.C=C(OC1)OCC2=C1C=CC=C2>>*[CH2:1]C(=O)OCc1ccccc1C[CH2:1]C(=O)OCc1ccccc1[CH2],O=C([CH2:1]*)OCC1=C([CH2])C=CC=C1.C=C(C)C(OCCO[Si](C)(C)C)=O>>*[CH2:1]C(=O)OCc1ccccc1C[CH2:1][C](C)C(=O)OCCO[Si](C)(C)C,C[C](C(OCCO[Si](C)(C)C)=O)[CH2:1]*.C=C(OC1)OCC2=C1C=CC=C2>>*[CH2:1]C(C)(C(=O)OCCO[Si](C)(C)C)[CH2:1]C(=O)OCc1ccccc1[CH2],C[C](C(OCCO[Si](C)(C)C)=O)[CH2:1]*.C=C(C)C(OCCO[Si](C)(C)C)=O>>*[CH2:1]C(C)(C(=O)OCCO[Si](C)(C)C)[CH2:1][C](C)C(=O)OCCO[Si](C)(C)C
BMDO,C=C(OC1)OCC2=C1C=CC=C2,O=C([CH2:1]*)OCC1=C([CH2])C=CC=C1,0.503,MMA,COC(=O)C(C)=C,*[CH2:1][C](C)C(=O)OC,1.95,O=C([CH2:1]*)OCC1=C([CH2])C=CC=C1.C=C(OC1)OCC2=C1C=CC=C2>>*[CH2:1]C(=O)OCc1ccccc1C[CH2:1]C(=O)OCc1ccccc1[CH2],O=C([CH2:1]*)OCC1=C([CH2])C=CC=C1.COC(=O)C(C)=C>>*[CH2:1]C(=O)OCc1ccccc1C[CH2:1][C](C)C(=O)OC,*[CH2:1][C](C)C(=O)OC.C=C(OC1)OCC2=C1C=CC=C2>>*[CH2:1]C(C)(C(=O)OC)[CH2:1]C(=O)OCc1ccccc1[CH2],*[CH2:1][C](C)C(=O)OC.COC(=O)C(C)=C>>*[CH2:1]C(C)(C(=O)OC)[CH2:1][C](C)C(=O)OC
MDO,C=C1OCCCCO1,O=C([CH2:1]*)OCCC[CH2],0.021,STY,C=Cc1ccccc1,*[CH2:1][CH]c1ccccc1,22.6,O=C([CH2:1]*)OCCC[CH2].C=C1OCCCCO1>>*[CH2:1]C(=O)OCCCC[CH2:1]C(=O)OCCC[CH2],O=C([CH2:1]*)OCCC[CH2].C=Cc1ccccc1>>*[CH2:1]C(=O)OCCCC[CH2:1][CH]c1ccccc1,*[CH2:1][CH]c1ccccc1.C=C1OCCCCO1>>*[CH2:1]C(c1ccccc1)[CH2:1]C(=O)OCCC[CH2],*[CH2:1][CH]c1ccccc1.C=Cc1ccccc1>>*[CH2:1]C(c1ccccc1)[CH2:1][CH]c1ccccc1
MDO,C=C1OCCCCO1,O=C([CH2:1]*)OCCC[CH2],0.73,VE,C=COC,*[CH2:1][CH]OC,1.61,O=C([CH2:1]*)OCCC[CH2].C=C1OCCCCO1>>*[CH2:1]C(=O)OCCCC[CH2:1]C(=O)OCCC[CH2],O=C([CH2:1]*)OCCC[CH2].C=COC>>*[CH2:1]C(=O)OCCCC[CH2:1][CH]OC,*[CH2:1][CH]OC.C=C1OCCCCO1>>*[CH2:1]C(OC)[CH2:1]C(=O)OCCC[CH2],*[CH2:1][CH]OC.C=COC>>*[CH2:1]C(OC)[CH2:1][CH]OC
MDO,C=C1OCCCCO1,O=C([CH2:1]*)OCCC[CH2],0.023,MA,C=CC(=O)OC,*[CH2:1][CH]C(=O)OC,26.5,O=C([CH2:1]*)OCCC[CH2].C=C1OCCCCO1>>*[CH2:1]C(=O)OCCCC[CH2:1]C(=O)OCCC[CH2],O=C([CH2:1]*)OCCC[CH2].C=CC(=O)OC>>*[CH2:1]C(=O)OCCCC[CH2:1][CH]C(=O)OC,*[CH2:1][CH]C(=O)OC.C=C1OCCCCO1>>*[CH2:1]C(C(=O)OC)[CH2:1]C(=O)OCCC[CH2],*[CH2:1][CH]C(=O)OC.C=CC(=O)OC>>*[CH2:1]C(C(=O)OC)[CH2:1][CH]C(=O)OC
MDO,C=C1OCCCCO1,O=C([CH2:1]*)OCCC[CH2],0.1,MMA,COC(=O)C(C)=C,*[CH2:1][C](C)C(=O)OC,4.0,O=C([CH2:1]*)OCCC[CH2].C=C1OCCCCO1>>*[CH2:1]C(=O)OCCCC[CH2:1]C(=O)OCCC[CH2],O=C([CH2:1]*)OCCC[CH2].COC(=O)C(C)=C>>*[CH2:1]C(=O)OCCCC[CH2:1][C](C)C(=O)OC,*[CH2:1][C](C)C(=O)OC.C=C1OCCCCO1>>*[CH2:1]C(C)(C(=O)OC)[CH2:1]C(=O)OCCC[CH2],*[CH2:1][C](C)C(=O)OC.COC(=O)C(C)=C>>*[CH2:1]C(C)(C(=O)OC)[CH2:1][C](C)C(=O)OC
